検索キーID,表示名,ソース,分類,必須可,検索対象,保有件数,保有率,記載率,歯科,状態,同名,備考
M0566,術中照射,疾患治療,放射線治療領域,1,1,76,0.06%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有76件。表記ゆれの残骸でないか要確認
M0567,肝悪性腫瘍ラジオ波焼灼療法,疾患治療,肝・胆道・膵臓領域,1,1,75,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有75件。表記ゆれの残骸でないか要確認
M0568,網膜剥離手術（再掲）,疾患治療,眼領域,0,0,74,0.05%,84.9%,0,現行,,ノイズ
M0569,脳血管内手術のうち経皮的頸動脈ステント留置術（○○件）,疾患治療,神経・脳血管領域,0,0,74,0.05%,84.9%,0,現行,,ノイズ
M0570,肝動脈塞栓術,疾患治療,肝・胆道・膵臓領域,1,1,73,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有73件。表記ゆれの残骸でないか要確認
M0571,ガンマナイフによる定位放射線治療,疾患治療,放射線治療領域,1,1,72,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有72件。表記ゆれの残骸でないか要確認
M0572,身体合併症（内科・外科）,疾患治療,精神科・神経科領域,1,1,72,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有72件。表記ゆれの残骸でないか要確認
M0573,内視鏡的直腸・結腸ポリープ切除術,疾患治療,消化器系領域,1,1,70,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有70件。表記ゆれの残骸でないか要確認
M0574,経皮的脳血栓回収術（○○件）,疾患治療,神経・脳血管領域,0,0,70,0.05%,84.9%,0,現行,,ノイズ
M0575,精神科ショート・ケア小,疾患治療,精神科・神経科領域,1,1,69,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有69件。表記ゆれの残骸でないか要確認
M0576,小児の歯科矯正治療,疾患治療,歯科領域,0,0,68,0.05%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0577,スポーツマウスガード治療,疾患治療,歯科口腔外科領域,0,0,67,0.05%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0578,経皮冠動脈ステント留置術,疾患治療,循環器系領域,1,1,66,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有66件。表記ゆれの残骸でないか要確認
M0579,作業療法,疾患治療,リハビリ領域,1,1,65,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有65件。表記ゆれの残骸でないか要確認
M0580,精神科デイ・ケア小,疾患治療,精神科・神経科領域,1,1,65,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有65件。表記ゆれの残骸でないか要確認
M0581,顔面外傷の治療（軟部組織損傷）（耳鼻咽喉領域）,疾患治療,耳鼻咽喉領域,1,1,65,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有65件。表記ゆれの残骸でないか要確認
M0582,口腔顎顔面悪性腫瘍手術療法,疾患治療,歯科口腔外科領域,0,0,64,0.05%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0583,顎顔面再建療法,疾患治療,歯科口腔外科領域,0,0,64,0.05%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0584,内視鏡的胆道砕石術,疾患治療,肝・胆道・膵臓領域,1,1,63,0.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有63件。表記ゆれの残骸でないか要確認
M0585,いびきのレーザー治療,疾患治療,耳鼻咽喉領域,1,1,62,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有62件。表記ゆれの残骸でないか要確認
M0586,内視鏡的胃・十二指腸ポリープ切除術,疾患治療,消化器系領域,1,1,62,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有62件。表記ゆれの残骸でないか要確認
M0587,心臓カテーテル法による諸検査（終日対応することができるもの以外）,疾患治療,循環器系領域,1,1,62,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有62件。表記ゆれの残骸でないか要確認
M0588,術中迅速病理検査,疾患治療,呼吸器領域,1,1,62,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有62件。表記ゆれの残骸でないか要確認
M0589,生体肝移植,疾患治療,肝・胆道・膵臓領域,1,1,61,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有61件。表記ゆれの残骸でないか要確認
M0590,近視矯正手術,疾患治療,眼領域,1,1,60,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有60件。表記ゆれの残骸でないか要確認
M0591,脳梗塞のｔ－ＰＡを用いた経静脈的血栓溶解療法,疾患治療,神経・脳血管領域,1,1,58,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有58件。表記ゆれの残骸でないか要確認
M0592,理学療法（Ｉ）,疾患治療,リハビリ領域,1,1,57,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有57件。表記ゆれの残骸でないか要確認
M0593,筋・腱手術,疾患治療,筋・骨格系及び外傷領域,1,1,57,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有57件。表記ゆれの残骸でないか要確認
M0594,末期腎不全に対する血液透析又は夜間透析又は腹膜透析（透析専門医の配置）,疾患治療,内分泌・代謝・栄養領域,1,1,56,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有56件。表記ゆれの残骸でないか要確認
M0595,眼科手術,疾患治療,眼領域,1,1,56,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有56件。表記ゆれの残骸でないか要確認
M0596,障害児（者）への歯科矯正治療（保険診療可）,疾患治療,矯正歯科領域,0,0,56,0.04%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0597,星状神経節ブロック,疾患治療,神経・脳血管領域,1,1,54,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有54件。表記ゆれの残骸でないか要確認
M0598,自動吻合器を用いた直腸粘膜脱又は内痔核手術（ＰＰＨ),疾患治療,消化器系領域,1,1,54,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有54件。表記ゆれの残骸でないか要確認
M0599,ＶＦ（ビデオＸ線透視、嚥下造影）検査,疾患治療,歯科領域,0,0,53,0.04%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0600,レーザー治療,疾患治療,皮膚・形成外科領域,1,1,50,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有50件。表記ゆれの残骸でないか要確認
M0601,強度変調放射線治療（ＩＭＲＴ）,疾患治療,放射線治療領域,1,1,49,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有49件。表記ゆれの残骸でないか要確認
M0602,精神科訪問看護施設(訪問看護ステーション),疾患治療,精神科・神経科領域,1,1,49,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有49件。表記ゆれの残骸でないか要確認
M0603,骨折手術,疾患治療,筋・骨格系及び外傷領域,1,1,49,0.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有49件。表記ゆれの残骸でないか要確認
M0604,内視鏡的乳頭部切開術（ＥＳＴ）,疾患治療,消化器系領域,1,1,48,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有48件。表記ゆれの残骸でないか要確認
M0605,包茎手術,疾患治療,腎・泌尿器系領域,1,1,46,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有46件。表記ゆれの残骸でないか要確認
M0606,頭蓋内血腫除去術（終日対応することができるもの以外）,疾患治療,神経・脳血管領域,1,1,46,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有46件。表記ゆれの残骸でないか要確認
M0607,筋電図測定,疾患治療,神経・脳血管領域,1,1,44,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有44件。表記ゆれの残骸でないか要確認
M0608,経カテーテル的動脈塞栓術（ＴＡＥ）,疾患治療,消化器系領域、肝・胆道・膵臓領域,1,1,44,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有44件。表記ゆれの残骸でないか要確認
M0609,血液細胞核酸増幅同定検査,疾患治療,血液・免疫系領域,1,1,44,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有44件。表記ゆれの残骸でないか要確認
M0610,子連れで出産できる産婦人科,疾患治療,産科領域,1,1,43,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有43件。表記ゆれの残骸でないか要確認
M0611,虹彩光凝固術,疾患治療,眼領域,1,1,43,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有43件。表記ゆれの残骸でないか要確認
M0612,末梢神経伝達速度検査,疾患治療,神経・脳血管領域,1,1,42,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有42件。表記ゆれの残骸でないか要確認
M0613,がん患者医科歯科連携治療,疾患治療,歯科口腔外科領域,0,0,41,0.03%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0614,ギャンブル依存症,疾患治療,精神科・神経科領域,1,1,41,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有41件。表記ゆれの残骸でないか要確認
M0615,内視鏡的乳頭バルーン拡張術（ＥＰＢＤ）,疾患治療,消化器系領域,1,1,40,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有40件。表記ゆれの残骸でないか要確認
M0616,口腔顎顔面腫瘍化学療法,疾患治療,歯科口腔外科領域,0,0,40,0.03%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0617,後発白内障手術,疾患治療,眼領域,1,1,40,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有40件。表記ゆれの残骸でないか要確認
M0618,脊髄造影検査,疾患治療,神経・脳血管領域,1,1,40,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有40件。表記ゆれの残骸でないか要確認
M0619,臨床心理士による心理療法,疾患治療,精神科・神経科領域,1,1,40,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有40件。表記ゆれの残骸でないか要確認
M0620,関節手術,疾患治療,筋・骨格系及び外傷領域,1,1,40,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有40件。表記ゆれの残骸でないか要確認
M0621,霰粒腫摘出術,疾患治療,眼領域,1,1,40,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有40件。表記ゆれの残骸でないか要確認
M0622,作業療法（Ｉ）,疾患治療,リハビリ領域,1,1,39,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有39件。表記ゆれの残骸でないか要確認
M0623,内視鏡的食道静脈瘤結紮術（ＥＶＬ）,疾患治療,消化器系領域,1,1,39,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有39件。表記ゆれの残骸でないか要確認
M0624,矯正歯科認定医による治療,疾患治療,歯科領域,0,0,38,0.03%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0625,粒子線治療,疾患治療,放射線治療領域,1,1,38,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有38件。表記ゆれの残骸でないか要確認
M0626,経皮経肝的エタノール注入術（ＰＥＩＴ）,疾患治療,肝・胆道・膵臓領域,1,1,38,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有38件。表記ゆれの残骸でないか要確認
M0627,翼状片手術,疾患治療,眼領域,1,1,38,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有38件。表記ゆれの残骸でないか要確認
M0628,血液吸着,疾患治療,腎・泌尿器系領域,1,1,38,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有38件。表記ゆれの残骸でないか要確認
M0629,大動脈バルーンパンピング（ＩＡＢＰ）,疾患治療,循環器系領域,1,1,37,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有37件。表記ゆれの残骸でないか要確認
M0630,痔核に対する手術（硬化療法結合糸術を含む）,疾患治療,消化器系領域,1,1,37,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有37件。表記ゆれの残骸でないか要確認
M0631,食道静脈瘤手術,疾患治療,消化器系領域,1,1,37,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有37件。表記ゆれの残骸でないか要確認
M0632,医療保護入院,疾患治療,精神科・神経科領域,1,1,36,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有36件。表記ゆれの残骸でないか要確認
M0633,四肢血管手術,疾患治療,循環器系領域,1,1,36,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有36件。表記ゆれの残骸でないか要確認
M0634,定位放射線治療,疾患治療,肝・胆道・膵臓領域,1,1,36,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有36件。表記ゆれの残骸でないか要確認
M0635,糖尿病教育入院,疾患治療,内分泌・代謝・栄養領域,1,1,36,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有36件。表記ゆれの残骸でないか要確認
M0636,血漿交換,疾患治療,腎・泌尿器系領域,1,1,36,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有36件。表記ゆれの残骸でないか要確認
M0637,任意入院,疾患治療,精神科・神経科領域,1,1,35,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有35件。表記ゆれの残骸でないか要確認
M0638,精神科患者搬送車,疾患治療,精神科・神経科領域,1,1,35,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有35件。表記ゆれの残骸でないか要確認
M0639,腰麻伝達麻酔下で適応出来る骨折手術,疾患治療,整形外科領域,1,1,35,0.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有35件。表記ゆれの残骸でないか要確認
M0640,シミなどの色素異常症,疾患治療,皮膚・形成外科領域,1,1,34,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有34件。表記ゆれの残骸でないか要確認
M0641,脳血管造影検査,疾患治療,神経・脳血管領域,1,1,34,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有34件。表記ゆれの残骸でないか要確認
M0642,言語聴覚療法,疾患治療,リハビリ領域,1,1,34,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有34件。表記ゆれの残骸でないか要確認
M0643,内視鏡的食道静脈瘤硬化術,疾患治療,消化器系領域,1,1,33,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有33件。表記ゆれの残骸でないか要確認
M0644,皮膚悪性腫瘍放射線療法,疾患治療,皮膚・形成外科領域,1,1,33,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有33件。表記ゆれの残骸でないか要確認
M0645,血糖コントロール困難者へ各専門職種チームによる教育入院又は日帰り教育（常勤の糖尿病専門医の配置）,疾患治療,内分泌・代謝・栄養領域,1,1,33,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有33件。表記ゆれの残骸でないか要確認
M0646,持続的血液濾過透析,疾患治療,腎・泌尿器系領域,1,1,32,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有32件。表記ゆれの残骸でないか要確認
M0647,経皮的選択的脳血栓・塞栓溶解術（終日対応することができるもの以外）,疾患治療,神経・脳血管領域,1,1,32,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有32件。表記ゆれの残骸でないか要確認
M0648,骨悪性腫瘍放射線療法,疾患治療,筋・骨格系及び外傷領域,1,1,32,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有32件。表記ゆれの残骸でないか要確認
M0649,言語聴覚療法（Ｉ）,疾患治療,リハビリ領域,1,1,31,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有31件。表記ゆれの残骸でないか要確認
M0650,心疾患リハビリテーション,疾患治療,循環器系領域,1,1,30,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有30件。表記ゆれの残骸でないか要確認
M0651,硝子体内注射,疾患治療,眼領域,1,1,30,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有30件。表記ゆれの残骸でないか要確認
M0652,耳鼻咽喉科手術,疾患治療,耳鼻咽喉領域,1,1,30,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有30件。表記ゆれの残骸でないか要確認
M0653,経皮経肝的胆道砕石術（ＰＴＣＬ）,疾患治療,肝・胆道・膵臓領域,1,1,29,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有29件。表記ゆれの残骸でないか要確認
M0654,軟部悪性腫瘍放射線療法,疾患治療,筋・骨格系及び外傷領域,1,1,29,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有29件。表記ゆれの残骸でないか要確認
M0655,高次脳機能障害（診断）,疾患治療,神経・脳血管領域,1,1,29,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有29件。表記ゆれの残骸でないか要確認
M0656,硬膜外自家血注入（ブラッドパッチ）,疾患治療,神経・脳血管領域,1,1,28,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有28件。表記ゆれの残骸でないか要確認
M0657,脳動脈瘤根治術（被包術、クリッピング）（終日対応することができるもの以外）,疾患治療,神経・脳血管領域,1,1,28,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有28件。表記ゆれの残骸でないか要確認
M0658,移植用部分小腸採取術（生体）,疾患治療,消化器系領域,1,1,26,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有26件。表記ゆれの残骸でないか要確認
M0659,糖尿病昏睡等の急性合併症の治療,疾患治療,内分泌・代謝・栄養領域,1,1,26,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有26件。表記ゆれの残骸でないか要確認
M0660,遠隔画像診断（依頼側）,疾患治療,画像診断,1,1,26,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有26件。表記ゆれの残骸でないか要確認
M0661,内視鏡的乳頭切開術（ＥＳＴ）,疾患治療,消化器系領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0662,動注化学療法,疾患治療,消化器系領域、肝・胆道・膵臓領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0663,卵管形成術,疾患治療,産科領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0664,強度変調放射線治療,疾患治療,肝・胆道・膵臓領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0665,形成外科手術,疾患治療,皮膚・形成外科領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0666,措置入院,疾患治療,精神科・神経科領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0667,治療的角膜切除術,疾患治療,眼領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0668,糖尿病性腎症（腎臓専門医の配置）,疾患治療,内分泌・代謝・栄養領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0669,糖尿病足病変の管理,疾患治療,内分泌・代謝・栄養領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0670,経皮的心筋焼灼術,疾患治療,循環器系領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0671,鏡視下手術（膝）,疾患治療,整形外科領域,1,1,25,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有25件。表記ゆれの残骸でないか要確認
M0672,椎弓切除術,疾患治療,整形外科領域,1,1,24,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有24件。表記ゆれの残骸でないか要確認
M0673,経皮的冠動脈形成術（アテレクトミーカテーテル）,疾患治療,循環器系領域,1,1,24,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有24件。表記ゆれの残骸でないか要確認
M0674,上記（産科病床）には婦人科その他診療科の病床と区分できない病床を含む,疾患治療,産科領域,0,0,23,0.02%,84.9%,0,現行,,ノイズ
M0675,内視鏡的食道、胃静脈瘤硬化法術,疾患治療,消化器系領域,1,1,23,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有23件。表記ゆれの残骸でないか要確認
M0676,涙管チューブ挿入術,疾患治療,眼領域,1,1,23,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有23件。表記ゆれの残骸でないか要確認
M0677,移植用小腸採取術（死体）,疾患治療,消化器系領域,1,1,23,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有23件。表記ゆれの残骸でないか要確認
M0678,t-PAの処方,疾患治療,神経・脳血管領域,1,1,22,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有22件。表記ゆれの残骸でないか要確認
M0679,経皮的心肺補助（ＰＣＰＳ）,疾患治療,循環器系領域,1,1,22,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有22件。表記ゆれの残骸でないか要確認
M0680,集団コミュニケーション,疾患治療,リハビリ領域,1,1,22,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有22件。表記ゆれの残骸でないか要確認
M0681,レーザー鼻腔粘膜焼灼術,疾患治療,耳鼻咽喉領域,1,1,21,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有21件。表記ゆれの残骸でないか要確認
M0682,同種死体小腸移植術,疾患治療,消化器系領域,1,1,21,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有21件。表記ゆれの残骸でないか要確認
M0683,外眼筋注射（ボツリヌス毒素によるもの）,疾患治療,眼領域,1,1,21,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有21件。表記ゆれの残骸でないか要確認
M0684,持続緩徐式血液濾過透析,疾患治療,腎・泌尿器系領域,1,1,21,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有21件。表記ゆれの残骸でないか要確認
M0685,経尿道的前立腺肥大症手術,疾患治療,腎・泌尿器系領域,1,1,21,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有21件。表記ゆれの残骸でないか要確認
M0686,臓器提供,疾患治療,その他,1,1,21,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有21件。表記ゆれの残骸でないか要確認
M0687,血管腫,疾患治療,皮膚・形成外科領域,1,1,21,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有21件。表記ゆれの残骸でないか要確認
M0688,１型糖尿病に対する持続皮下インスリン注入療法（ＣＳＩＩ）の管理,疾患治療,内分泌・代謝・栄養領域,1,1,21,0.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有21件。表記ゆれの残骸でないか要確認
M0689,人工内耳,疾患治療,耳鼻咽喉領域,1,1,20,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有20件。表記ゆれの残骸でないか要確認
M0690,人工授精,疾患治療,産科領域,1,1,20,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有20件。表記ゆれの残骸でないか要確認
M0691,死亡時画像診断（ＡＩ：オートプシー・イメージング）,疾患治療,画像診断,1,1,20,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有20件。表記ゆれの残骸でないか要確認
M0692,母乳指導,疾患治療,小児領域,1,1,19,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有19件。表記ゆれの残骸でないか要確認
M0693,気管・気管支ステント留置術,疾患治療,呼吸器領域,1,1,19,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有19件。表記ゆれの残骸でないか要確認
M0694,理学療法（ＩＩ）,疾患治療,リハビリ領域,1,1,19,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有19件。表記ゆれの残骸でないか要確認
M0695,生体部分小腸移植術,疾患治療,消化器系領域,1,1,19,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有19件。表記ゆれの残骸でないか要確認
M0696,人工関節置換術（肘）,疾患治療,整形外科領域,1,1,18,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有18件。表記ゆれの残骸でないか要確認
M0697,内視鏡的胆道拡張術,疾患治療,肝・胆道・膵臓領域,1,1,18,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有18件。表記ゆれの残骸でないか要確認
M0698,尿水力学的検査,疾患治療,腎・泌尿器系領域,1,1,18,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有18件。表記ゆれの残骸でないか要確認
M0699,人工関節置換術（肩）,疾患治療,整形外科領域,1,1,17,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有17件。表記ゆれの残骸でないか要確認
M0700,応急入院,疾患治療,精神科・神経科領域,1,1,17,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有17件。表記ゆれの残骸でないか要確認
M0701,経皮的四肢血管拡張術（ＰＴＡ）,疾患治療,循環器系領域,1,1,17,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有17件。表記ゆれの残骸でないか要確認
M0702,腋臭症,疾患治療,皮膚・形成外科領域,1,1,17,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有17件。表記ゆれの残骸でないか要確認
M0703,骨盤手術,疾患治療,筋・骨格系及び外傷領域,1,1,17,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有17件。表記ゆれの残骸でないか要確認
M0704,乳房温存治療（手術）,疾患治療,乳腺領域,1,1,16,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有16件。表記ゆれの残骸でないか要確認
M0705,吸着式血液浄化療法,疾患治療,腎・泌尿器系領域,1,1,16,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有16件。表記ゆれの残骸でないか要確認
M0706,小児科病床,疾患治療,小児領域,1,1,16,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有16件。表記ゆれの残骸でないか要確認
M0707,乳房温存治療,疾患治療,乳腺領域,1,1,15,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有15件。表記ゆれの残骸でないか要確認
M0708,乳房温存治療（化学）,疾患治療,乳腺領域,1,1,15,0.01%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる / 保有15件。表記ゆれの残骸でないか要確認
